total_votaciones_camara,polaridad_promedio,alineamiento_promedio,camara
1,0.0196,0.9235,Cámara de Diputados
1,0,0.9634,Cámara de Diputados
3,0.6454,0.8349,Cámara de Diputados
2,0,1,Cámara de Diputados
2,0,1,Cámara de Diputados
6,0.8645,0.9419,Cámara de Diputados
1,0,1,Cámara de Diputados
3,0.0932,0.9581,Cámara de Diputados
21,0.1621,0.8782,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.6879,Cámara de Diputados
5,0.2993,0.863,Cámara de Diputados
2,0.0258,0.7663,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.1094,0.8724,Cámara de Diputados
13,0.4525,0.9389,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.6842,0.8679,Cámara de Diputados
2,0.2264,0.8392,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.7921,0.9342,Cámara de Diputados
1,0.1667,0.7813,Cámara de Diputados
1,0,0.9709,Cámara de Diputados
1,0.2772,0.8609,Cámara de Diputados
5,0.7561,0.8995,Cámara de Diputados
5,0.1011,0.7698,Cámara de Diputados
1,0,0.9525,Cámara de Diputados
3,0.2569,0.8883,Cámara de Diputados
2,0.0087,0.7986,Cámara de Diputados
1,0.1978,0.7384,Cámara de Diputados
2,0,1,Cámara de Diputados
4,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9723,Cámara de Diputados
3,0.088,0.8949,Cámara de Diputados
4,0.0883,0.9626,Cámara de Diputados
1,0,1,Cámara de Diputados
4,0.15,0.9748,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9583,Cámara de Diputados
1,0,0.9004,Cámara de Diputados
1,0,0.9729,Cámara de Diputados
2,0.0583,0.7317,Cámara de Diputados
1,0,0.9412,Cámara de Diputados
12,0.3618,0.9192,Cámara de Diputados
1,0,0.7723,Cámara de Diputados
2,0,0.98,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.027,0.9729,Cámara de Diputados
1,0,0.9801,Cámara de Diputados
4,0.5233,0.841,Cámara de Diputados
1,0,0.7492,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.0235,0.8714,Cámara de Diputados
9,0.3026,0.8887,Cámara de Diputados
17,0.1369,0.9467,Cámara de Diputados
1,0,0.9632,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.0426,0.9161,Cámara de Diputados
1,0,1,Cámara de Diputados
12,0.1465,0.9322,Cámara de Diputados
7,0.1353,0.8845,Cámara de Diputados
2,0,1,Cámara de Diputados
1,0.0682,0.8957,Cámara de Diputados
1,0,1,Cámara de Diputados
91,0.3207,0.7808,Cámara de Diputados
1,0,0.5842,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9398,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.2368,0.8903,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9793,Cámara de Diputados
1,0,0.9789,Cámara de Diputados
1,0.8824,0.877,Cámara de Diputados
1,0.3056,0.8048,Cámara de Diputados
2,0,0.9177,Cámara de Diputados
1,0,0.9791,Cámara de Diputados
1,0,0.9612,Cámara de Diputados
1,0,0.7774,Cámara de Diputados
1,0.7,0.5792,Cámara de Diputados
1,0.0204,0.8717,Cámara de Diputados
1,0.3652,0.7916,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0.5044,0.8109,Cámara de Diputados
1,0,0.5779,Cámara de Diputados
19,0.1003,0.8867,Cámara de Diputados
2,0.0455,0.9236,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9269,Cámara de Diputados
2,0.3056,0.8188,Cámara de Diputados
1,0,0.7549,Cámara de Diputados
1,0,0.9434,Cámara de Diputados
1,0,0.9536,Cámara de Diputados
1,0,0.9183,Cámara de Diputados
2,0,0.8875,Cámara de Diputados
1,0.1042,0.8525,Cámara de Diputados
3,0.0163,0.9048,Cámara de Diputados
1,0,0.888,Cámara de Diputados
1,0,1,Cámara de Diputados
5,0.026,0.9715,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0,1,Cámara de Diputados
2,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9723,Cámara de Diputados
2,0.2878,0.7738,Cámara de Diputados
2,0.8421,0.8872,Cámara de Diputados
2,0,0.8335,Cámara de Diputados
1,0,0.8668,Cámara de Diputados
1,0.4444,0.8767,Cámara de Diputados
1,0,0.8381,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0.0741,0.9419,Cámara de Diputados
2,0,0.9288,Cámara de Diputados
1,0,1,Cámara de Diputados
5,0.1614,0.935,Cámara de Diputados
3,0.1285,0.9543,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
4,0.591,0.8294,Cámara de Diputados
3,0.0442,0.9512,Cámara de Diputados
3,0.2222,0.8208,Cámara de Diputados
1,0.819,0.8864,Cámara de Diputados
1,0,0.8685,Cámara de Diputados
1,0,0.8982,Cámara de Diputados
31,0.6394,0.8341,Cámara de Diputados
2,0.8032,0.7658,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.0588,0.9427,Cámara de Diputados
1,0.2041,0.7485,Cámara de Diputados
2,0,0.9845,Cámara de Diputados
1,0,0.9595,Cámara de Diputados
1,0.5476,0.9528,Cámara de Diputados
3,0,0.9708,Cámara de Diputados
4,0.0294,0.9345,Cámara de Diputados
2,0,0.9758,Cámara de Diputados
5,0.2963,0.8672,Cámara de Diputados
2,0.0877,0.9491,Cámara de Diputados
2,0.1786,0.9273,Cámara de Diputados
1,0,0.9367,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9571,Cámara de Diputados
1,0.9367,0.8212,Cámara de Diputados
3,0.1237,0.8655,Cámara de Diputados
1,0.5079,0.4404,Cámara de Diputados
1,0,0.9723,Cámara de Diputados
2,0,1,Cámara de Diputados
1,0,0.8757,Cámara de Diputados
2,0.2826,0.8853,Cámara de Diputados
3,0,1,Cámara de Diputados
15,0.3168,0.8726,Cámara de Diputados
11,0.0074,0.9375,Cámara de Diputados
1,0,1,Cámara de Diputados
3,0.0264,0.8501,Cámara de Diputados
1,0,1,Cámara de Diputados
6,0.1694,0.7999,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.6538,0.785,Cámara de Diputados
1,0,0.9299,Cámara de Diputados
2,0.022,0.9901,Cámara de Diputados
3,0,0.8067,Cámara de Diputados
1,0,0.9517,Cámara de Diputados
1,0,0.8763,Cámara de Diputados
6,0.1477,0.9721,Cámara de Diputados
2,0,0.8678,Cámara de Diputados
146,0.4988,0.9446,Cámara de Diputados
7,0.2958,0.8005,Cámara de Diputados
1,0.1587,0.8322,Cámara de Diputados
15,0.0806,0.97,Cámara de Diputados
1,0,0.8786,Cámara de Diputados
1,0,0.9625,Cámara de Diputados
1,0,0.7186,Cámara de Diputados
25,0.5416,0.9749,Cámara de Diputados
7,0.0241,0.9786,Cámara de Diputados
8,0.2755,0.9475,Cámara de Diputados
1,0,1,Cámara de Diputados
6,0.5719,0.9485,Cámara de Diputados
6,0.3901,0.7527,Cámara de Diputados
2,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.0506,0.8471,Cámara de Diputados
2,0,0.9507,Cámara de Diputados
7,0.1981,0.9207,Cámara de Diputados
1,0,0.9798,Cámara de Diputados
2,0,0.9286,Cámara de Diputados
2,0,0.8262,Cámara de Diputados
1,0,0.8136,Cámara de Diputados
7,0.3305,0.9241,Cámara de Diputados
20,0.5481,0.8326,Cámara de Diputados
1,0.3125,0.695,Cámara de Diputados
1,0,0.9048,Cámara de Diputados
1,0,0.917,Cámara de Diputados
1,0.137,0.811,Cámara de Diputados
2,0.0745,0.8808,Cámara de Diputados
1,0,0.8715,Cámara de Diputados
1,0.0256,0.8629,Cámara de Diputados
6,0.294,0.8316,Cámara de Diputados
7,0.0779,0.9631,Cámara de Diputados
1,0.2737,0.6551,Cámara de Diputados
12,0.3043,0.6852,Cámara de Diputados
4,0.092,0.8375,Cámara de Diputados
1,0,0.9339,Cámara de Diputados
1,0.0769,0.7782,Cámara de Diputados
8,0.0767,0.9342,Cámara de Diputados
1,0,0.8186,Cámara de Diputados
7,0.6763,0.7936,Cámara de Diputados
19,0.2001,0.83,Cámara de Diputados
1,0,0.9306,Cámara de Diputados
73,0.283,0.8535,Cámara de Diputados
1,0,1,Cámara de Diputados
70,0.6497,0.9493,Cámara de Diputados
3,0,1,Cámara de Diputados
3,0,0.9797,Cámara de Diputados
3,0,0.9655,Cámara de Diputados
1,0,0.9486,Cámara de Diputados
3,0,0.9704,Cámara de Diputados
3,0,0.8872,Cámara de Diputados
2,0,0.8694,Cámara de Diputados
4,0.0785,0.8218,Cámara de Diputados
33,0.384,0.765,Cámara de Diputados
1,0,0.8989,Cámara de Diputados
1,0,0.8131,Cámara de Diputados
5,0,0.9611,Cámara de Diputados
4,0.1662,0.7879,Cámara de Diputados
3,0.5637,0.7577,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.0303,0.8185,Cámara de Diputados
2,0,1,Cámara de Diputados
2,0.1909,0.8772,Cámara de Diputados
1,0,1,Cámara de Diputados
3,0.086,0.9255,Cámara de Diputados
4,0.2423,0.9612,Cámara de Diputados
4,0.0903,0.9591,Cámara de Diputados
7,0.1589,0.9629,Cámara de Diputados
2,0,1,Cámara de Diputados
11,0.0893,0.9586,Cámara de Diputados
10,0.014,0.9769,Cámara de Diputados
25,0.2641,0.8171,Cámara de Diputados
3,0,0.9359,Cámara de Diputados
4,0,1,Cámara de Diputados
2,0,1,Cámara de Diputados
1,0.029,0.8751,Cámara de Diputados
1,0,1,Cámara de Diputados
7,0.1174,0.9538,Cámara de Diputados
4,0.0664,0.9129,Cámara de Diputados
1,0,1,Cámara de Diputados
10,0.0305,0.9534,Cámara de Diputados
1,0.4632,0.6951,Cámara de Diputados
2,0.4154,0.6372,Cámara de Diputados
1,0.587,0.8294,Cámara de Diputados
1,0,0.952,Cámara de Diputados
2,0.0132,0.7997,Cámara de Diputados
1,0.0211,0.9789,Cámara de Diputados
2,0,0.9644,Cámara de Diputados
2,0.0123,0.8877,Cámara de Diputados
1,0.0313,0.7046,Cámara de Diputados
2,0,0.9227,Cámara de Diputados
1,0.8696,0.6119,Cámara de Diputados
1,0,0.9552,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9757,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0.0337,0.713,Cámara de Diputados
42,0.4048,0.7187,Cámara de Diputados
5,0.4491,0.7522,Cámara de Diputados
1,0,0.815,Cámara de Diputados
3,0,0.9668,Cámara de Diputados
1,0,0.6718,Cámara de Diputados
4,0.4084,0.5922,Cámara de Diputados
1,0,0.8307,Cámara de Diputados
2,0,0.8344,Cámara de Diputados
48,0.5156,0.967,Cámara de Diputados
1,0,0.8392,Cámara de Diputados
1,0,0.8154,Cámara de Diputados
1,0,0.7467,Cámara de Diputados
1,0,0.747,Cámara de Diputados
1,0,0.6139,Cámara de Diputados
8,0.3248,0.8335,Cámara de Diputados
1,0,0.8898,Cámara de Diputados
1,0,0.5449,Cámara de Diputados
15,0.2514,0.8525,Cámara de Diputados
25,0.4415,0.8015,Cámara de Diputados
8,0.329,0.7463,Cámara de Diputados
4,0.0208,0.7712,Cámara de Diputados
1,0.0233,0.818,Cámara de Diputados
17,0.7348,0.8235,Cámara de Diputados
3,0.1212,0.9068,Cámara de Diputados
3,0.6759,0.6389,Cámara de Diputados
1,0,0.5582,Cámara de Diputados
1,0,0.5896,Cámara de Diputados
1,0,0.7492,Cámara de Diputados
1,0,0.9519,Cámara de Diputados
8,0.517,0.9168,Cámara de Diputados
1,0,0.8674,Cámara de Diputados
1,0.0217,0.8289,Cámara de Diputados
3,0.0454,0.9213,Cámara de Diputados
4,0.1389,0.7876,Cámara de Diputados
1,0,0.9011,Cámara de Diputados
1,0.5882,0.7811,Cámara de Diputados
2,0.0147,0.8398,Cámara de Diputados
8,0.3869,0.8338,Cámara de Diputados
1,0,0.9055,Cámara de Diputados
1,0,0.6301,Cámara de Diputados
2,0.2283,0.911,Cámara de Diputados
2,0,0.7621,Cámara de Diputados
2,0,0.9924,Cámara de Diputados
1,0.0244,0.9745,Cámara de Diputados
1,0,0.9271,Cámara de Diputados
1,0.9394,0.529,Cámara de Diputados
1,0.1754,0.6157,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9634,Cámara de Diputados
2,0.0127,0.8239,Cámara de Diputados
1,0.1684,0.7409,Cámara de Diputados
2,0,0.9718,Cámara de Diputados
2,0.2966,0.9204,Cámara de Diputados
2,0.5574,0.8925,Cámara de Diputados
1,0,0.9172,Cámara de Diputados
1,0,0.8103,Cámara de Diputados
1,0.0198,0.9609,Cámara de Diputados
5,0.2383,0.6943,Cámara de Diputados
2,0,0.9208,Cámara de Diputados
4,0,0.913,Cámara de Diputados
7,0.2267,0.8572,Cámara de Diputados
1,0,0.9429,Cámara de Diputados
1,0,0.6649,Cámara de Diputados
1,0.9639,0.7583,Cámara de Diputados
1,0,0.9185,Cámara de Diputados
3,0.2544,0.8302,Cámara de Diputados
3,0,1,Cámara de Diputados
3,0.6464,0.6248,Cámara de Diputados
9,0.3006,0.892,Cámara de Diputados
18,0.4854,0.7925,Cámara de Diputados
1,0,0.7681,Cámara de Diputados
2,0.494,0.7253,Cámara de Diputados
3,0.2596,0.7609,Cámara de Diputados
2,0.0157,0.8829,Cámara de Diputados
1,0,0.7341,Cámara de Diputados
62,0.223,0.9462,Cámara de Diputados
1,0,0.8948,Cámara de Diputados
2,0,0.8678,Cámara de Diputados
224,0.401,0.745,Cámara de Diputados
1,0,1,Cámara de Diputados
13,0.2316,0.964,Cámara de Diputados
5,0.5401,0.9656,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.0202,0.8473,Cámara de Diputados
1,0,0.9007,Cámara de Diputados
2,0.5241,0.6618,Cámara de Diputados
14,0.4108,0.8553,Cámara de Diputados
16,0.2233,0.9047,Cámara de Diputados
1,0.2,0.8581,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9819,Cámara de Diputados
3,0.302,0.9938,Cámara de Diputados
1,0.093,0.8931,Cámara de Diputados
1,0.6905,0.7595,Cámara de Diputados
4,0.0789,0.9119,Cámara de Diputados
11,0.2233,0.8161,Cámara de Diputados
3,0.0157,0.802,Cámara de Diputados
1,0.2045,0.7288,Cámara de Diputados
1,0,0.8074,Cámara de Diputados
1,0,0.8983,Cámara de Diputados
1,0,0.9646,Cámara de Diputados
2,0,1,Cámara de Diputados
6,0.3304,0.8051,Cámara de Diputados
3,0,0.8463,Cámara de Diputados
4,0.2723,0.8662,Cámara de Diputados
1,0.0282,0.8445,Cámara de Diputados
1,0.8932,0.836,Cámara de Diputados
1,0,0.9595,Cámara de Diputados
1,0,0.9794,Cámara de Diputados
1,0,0.7846,Cámara de Diputados
3,0.0523,0.7786,Cámara de Diputados
3,0.6772,0.6577,Cámara de Diputados
2,0,0.9414,Cámara de Diputados
5,0.2143,0.9005,Cámara de Diputados
1,0,0.8804,Cámara de Diputados
1,0,0.8327,Cámara de Diputados
28,0.2484,0.9015,Cámara de Diputados
2,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.8068,Cámara de Diputados
6,0.0334,0.9083,Cámara de Diputados
1,0,0.9523,Cámara de Diputados
1,0.2899,0.7279,Cámara de Diputados
2,0.0098,0.9464,Cámara de Diputados
1,0,0.9789,Cámara de Diputados
13,0.2197,0.8539,Cámara de Diputados
2,0.3294,0.7007,Cámara de Diputados
1,0,1,Cámara de Diputados
3,0.1398,0.7602,Cámara de Diputados
7,0.8128,0.8635,Cámara de Diputados
2,0,0.8816,Cámara de Diputados
1,0,0.8026,Cámara de Diputados
5,0.0833,0.7978,Cámara de Diputados
1,0,0.9348,Cámara de Diputados
2,0,0.9626,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9434,Cámara de Diputados
1,0,0.8634,Cámara de Diputados
1,0,0.6434,Cámara de Diputados
2,0,0.9437,Cámara de Diputados
6,0.6665,0.9382,Cámara de Diputados
7,0,1,Cámara de Diputados
1,0,0.9102,Cámara de Diputados
4,0.0499,0.909,Cámara de Diputados
6,0.0169,0.7806,Cámara de Diputados
1,0,0.9571,Cámara de Diputados
1,0,0.771,Cámara de Diputados
1,0,0.9664,Cámara de Diputados
2,0,0.8737,Cámara de Diputados
1,0,0.9019,Cámara de Diputados
2,0.0795,0.8929,Cámara de Diputados
6,0.3541,0.6638,Cámara de Diputados
1,0,0.9403,Cámara de Diputados
3,0.6449,0.7888,Cámara de Diputados
2,0.0426,0.949,Cámara de Diputados
2,0,0.7661,Cámara de Diputados
1,0.5246,0.7266,Cámara de Diputados
1,0,1,Cámara de Diputados
5,0.4619,0.7796,Cámara de Diputados
2,0,1,Cámara de Diputados
2,0,1,Cámara de Diputados
1,0,0.5565,Cámara de Diputados
2,0,1,Cámara de Diputados
2,0.0147,0.9442,Cámara de Diputados
1,0,0.8796,Cámara de Diputados
1,0.8,0.7388,Cámara de Diputados
5,0.0509,0.9141,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9608,Cámara de Diputados
1,0,0.5765,Cámara de Diputados
1,0.4242,0.627,Cámara de Diputados
1,0.2667,0.4831,Cámara de Diputados
2,0.0167,0.788,Cámara de Diputados
2,0,0.9533,Cámara de Diputados
2,0,0.94,Cámara de Diputados
17,0.2917,0.9516,Cámara de Diputados
12,0.5612,0.886,Cámara de Diputados
10,0.2635,0.8731,Cámara de Diputados
5,0.0629,0.8969,Cámara de Diputados
2,0,0.9631,Cámara de Diputados
1,0,0.9758,Cámara de Diputados
1,0,0.5688,Cámara de Diputados
4,0.0321,0.8218,Cámara de Diputados
5,0.1003,0.8171,Cámara de Diputados
8,0.2355,0.8927,Cámara de Diputados
2,0.2023,0.6623,Cámara de Diputados
2,0,0.9835,Cámara de Diputados
1,0.026,0.7596,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0,0.7279,Cámara de Diputados
3,0.323,0.8782,Cámara de Diputados
3,0.5914,0.6649,Cámara de Diputados
2,0,0.9646,Cámara de Diputados
1,0,0.8669,Cámara de Diputados
1,0,0.8882,Cámara de Diputados
1,0,0.9224,Cámara de Diputados
3,0,0.863,Cámara de Diputados
1,0.175,0.7041,Cámara de Diputados
1,0.0645,0.7317,Cámara de Diputados
5,0.3612,0.945,Cámara de Diputados
6,0,0.8451,Cámara de Diputados
41,0.32,0.9397,Cámara de Diputados
1,0,0.8403,Cámara de Diputados
1,0,0.6779,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.1316,0.7316,Cámara de Diputados
5,0.1762,0.8665,Cámara de Diputados
1,0,0.9378,Cámara de Diputados
3,0.0093,0.7655,Cámara de Diputados
1,0,0.8449,Cámara de Diputados
2,0,0.9062,Cámara de Diputados
1,0,0.8154,Cámara de Diputados
3,0.3394,0.7081,Cámara de Diputados
5,0.2599,0.782,Cámara de Diputados
3,0,0.9478,Cámara de Diputados
1,0.5882,0.5091,Cámara de Diputados
6,0,0.9731,Cámara de Diputados
6,0.2751,0.8323,Cámara de Diputados
2,0,0.7599,Cámara de Diputados
1,0,0.9325,Cámara de Diputados
3,0.169,0.7797,Cámara de Diputados
1,0.0213,0.9372,Cámara de Diputados
1,0.3065,0.8954,Cámara de Diputados
3,0.044,0.7718,Cámara de Diputados
1,0,0.9593,Cámara de Diputados
11,0.1482,0.684,Cámara de Diputados
1,0,1,Cámara de Diputados
33,0.4849,0.8309,Cámara de Diputados
11,0.2766,0.91,Cámara de Diputados
4,0.2373,0.8907,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0.0568,0.8803,Cámara de Diputados
5,0.0367,0.9779,Cámara de Diputados
5,0.6956,0.7115,Cámara de Diputados
2,0,0.9642,Cámara de Diputados
1,0.8125,0.8989,Cámara de Diputados
1,0,0.8849,Cámara de Diputados
1,0,0.9491,Cámara de Diputados
1,0,0.9643,Cámara de Diputados
32,0.1043,0.8848,Cámara de Diputados
2,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.8938,Cámara de Diputados
1,0,0.8785,Cámara de Diputados
1,0,0.7883,Cámara de Diputados
2,0,0.7704,Cámara de Diputados
3,0.2145,0.8311,Cámara de Diputados
3,0,0.7811,Cámara de Diputados
4,0.3857,0.9511,Cámara de Diputados
9,0.1037,0.9592,Cámara de Diputados
1,0,0.842,Cámara de Diputados
1,0.2472,0.806,Cámara de Diputados
2,0,0.8835,Cámara de Diputados
1,0,1,Cámara de Diputados
3,0.036,0.7128,Cámara de Diputados
11,0.4077,0.7412,Cámara de Diputados
7,0.2256,0.7735,Cámara de Diputados
1,0.7629,0.8422,Cámara de Diputados
3,0,0.952,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.2105,0.953,Cámara de Diputados
1,0,0.909,Cámara de Diputados
3,0.1548,0.9619,Cámara de Diputados
5,0.3391,0.9096,Cámara de Diputados
8,0.0027,0.9949,Cámara de Diputados
9,0.3968,0.979,Cámara de Diputados
7,0.1402,0.9583,Cámara de Diputados
6,0,0.9385,Cámara de Diputados
4,0.4628,0.8718,Cámara de Diputados
2,0.0137,0.8059,Cámara de Diputados
3,0.0131,0.8745,Cámara de Diputados
1,0.0208,0.8597,Cámara de Diputados
1,0,0.9322,Cámara de Diputados
5,0.0053,0.9066,Cámara de Diputados
6,0.1016,1,Cámara de Diputados
5,0.1971,0.7903,Cámara de Diputados
2,0,0.9051,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0.0118,0.7707,Cámara de Diputados
2,0,1,Cámara de Diputados
3,0,0.9822,Cámara de Diputados
5,0,1,Cámara de Diputados
2,0.013,0.9787,Cámara de Diputados
18,0.2079,0.8779,Cámara de Diputados
6,0.6542,0.8499,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0.0141,0.7691,Cámara de Diputados
1,0,0.8958,Cámara de Diputados
1,0,0.9389,Cámara de Diputados
11,0.2443,0.8239,Cámara de Diputados
53,0.1943,0.972,Cámara de Diputados
1,0.0196,0.9616,Cámara de Diputados
1,0,0.9753,Cámara de Diputados
4,0.0054,0.9249,Cámara de Diputados
1,0,0.8705,Cámara de Diputados
1,0.0247,0.8252,Cámara de Diputados
15,0.1114,0.7621,Cámara de Diputados
4,0.0265,0.8556,Cámara de Diputados
2,0,0.8186,Cámara de Diputados
6,0.3711,0.6465,Cámara de Diputados
1,0.4286,0.9248,Cámara de Diputados
1,0,0.9801,Cámara de Diputados
1,0.023,0.82,Cámara de Diputados
10,0.2655,0.9336,Cámara de Diputados
164,0.5629,0.8966,Cámara de Diputados
13,0.7511,0.8094,Cámara de Diputados
14,0.1319,0.809,Cámara de Diputados
6,0.2751,0.7936,Cámara de Diputados
1,0,0.8493,Cámara de Diputados
1,0,0.9504,Cámara de Diputados
1,0,0.7594,Cámara de Diputados
3,0,0.8273,Cámara de Diputados
7,0.6508,0.7879,Cámara de Diputados
1,0,0.7266,Cámara de Diputados
1,0,0.6211,Cámara de Diputados
2,0,0.9319,Cámara de Diputados
1,0,0.9778,Cámara de Diputados
1,0.08,0.7805,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0,0.9777,Cámara de Diputados
2,0.0581,0.9404,Cámara de Diputados
6,0.1668,0.9656,Cámara de Diputados
1,0.7391,0.5275,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
10,0.0688,0.9524,Cámara de Diputados
1,0,0.959,Cámara de Diputados
2,0,0.9717,Cámara de Diputados
1,0.1039,0.73,Cámara de Diputados
3,0.0069,0.9169,Cámara de Diputados
1,0,0.9613,Cámara de Diputados
42,0.433,0.7297,Cámara de Diputados
3,0,0.932,Cámara de Diputados
2,0,0.9739,Cámara de Diputados
2,0,1,Cámara de Diputados
3,0,0.973,Cámara de Diputados
16,0.36,0.6462,Cámara de Diputados
4,0.0687,0.8613,Cámara de Diputados
16,0.6182,0.9641,Cámara de Diputados
1,0.7188,0.5379,Cámara de Diputados
6,0.6961,0.9397,Cámara de Diputados
2,0.1781,0.9081,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0,0.9355,Cámara de Diputados
3,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
13,0.2152,0.9282,Cámara de Diputados
14,0.2201,0.8906,Cámara de Diputados
2,0,0.925,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.7489,Cámara de Diputados
1,0,0.8438,Cámara de Diputados
2,0.6612,0.7261,Cámara de Diputados
6,0,0.9682,Cámara de Diputados
36,0.4435,0.8866,Cámara de Diputados
2,0.0494,0.8266,Cámara de Diputados
1,0.7848,0.9052,Cámara de Diputados
1,0,0.8038,Cámara de Diputados
1,0,0.9771,Cámara de Diputados
2,0,0.9584,Cámara de Diputados
1,0,0.8932,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.0149,0.9843,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0.2312,0.8473,Cámara de Diputados
1,0.0702,0.8208,Cámara de Diputados
11,0.3107,0.7289,Cámara de Diputados
2,0,0.9836,Cámara de Diputados
2,0,0.9196,Cámara de Diputados
1,0,0.9152,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0.0664,0.7724,Cámara de Diputados
32,0.2467,0.7323,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.883,Cámara de Diputados
4,0.0896,0.7821,Cámara de Diputados
2,0,0.9839,Cámara de Diputados
2,0.0096,1,Cámara de Diputados
1,0.1684,0.8086,Cámara de Diputados
19,0.6788,0.7976,Cámara de Diputados
4,0.0058,0.9228,Cámara de Diputados
1,0,0.8271,Cámara de Diputados
4,0.75,0.9372,Cámara de Diputados
4,0.2874,0.6919,Cámara de Diputados
2,0.0101,0.9525,Cámara de Diputados
7,0.1926,0.7752,Cámara de Diputados
1,0,0.9524,Cámara de Diputados
32,0.0641,0.9747,Cámara de Diputados
2,0.0375,0.8811,Cámara de Diputados
186,0.348,0.8048,Cámara de Diputados
5,0.196,0.9044,Cámara de Diputados
2,0,0.7497,Cámara de Diputados
2,0.0619,0.9176,Cámara de Diputados
1,0.9268,0.8613,Cámara de Diputados
1,0.7609,0.6257,Cámara de Diputados
1,0.1887,0.9465,Cámara de Diputados
1,0,0.8162,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0.0183,0.9177,Cámara de Diputados
4,0,0.8815,Cámara de Diputados
1,0,0.8921,Cámara de Diputados
1,0,0.9448,Cámara de Diputados
1,0,0.9472,Cámara de Diputados
4,0.1912,0.7751,Cámara de Diputados
1,0,0.7725,Cámara de Diputados
6,0.1737,0.7061,Cámara de Diputados
2,0,0.7226,Cámara de Diputados
1,0,0.9669,Cámara de Diputados
1,0,0.56,Cámara de Diputados
1,0,0.7991,Cámara de Diputados
3,0.0159,0.8146,Cámara de Diputados
1,0,0.9821,Cámara de Diputados
1,0,0.8704,Cámara de Diputados
1,0,0.9599,Cámara de Diputados
1,0.2982,0.7389,Cámara de Diputados
11,0.077,0.9054,Cámara de Diputados
1,0,0.6539,Cámara de Diputados
10,0.5405,0.6825,Cámara de Diputados
1,0.0204,0.8832,Cámara de Diputados
1,0,0.7425,Cámara de Diputados
1,0,0.7691,Cámara de Diputados
1,0,0.8351,Cámara de Diputados
11,0.3312,0.874,Cámara de Diputados
1,0,0.8743,Cámara de Diputados
1,0.043,0.8638,Cámara de Diputados
2,0,0.9538,Cámara de Diputados
1,0,1,Cámara de Diputados
5,0.0549,0.8009,Cámara de Diputados
